Date,Amount,Account Number,,Transaction Type,Transaction Details,Balance,Category,Merchant Name,Processed On
27 Jan 26,-89.98,Card ending 3696,,CREDIT CARD PURCHASE,RIP CURL PROPRIETARY L MOORABBIN AIR,-738.65,Clothing & accessories,Rip Curl (DFO Moorabbin),27 Jan 26
27 Jan 26,-40.07,Card ending 3696,,CREDIT CARD PURCHASE,RITCHIES CARRUM DOWN CARRUM DOWNS,-648.67,Groceries,Ritchies Supa IGA (Carrum Downs),27 Jan 26
27 Jan 26,89.98,Card ending 3696,,CREDIT CARD PAYMENT,INTERNET PAYMENT credit rebalance,-608.60,Internal transfers,,27 Jan 26
23 Jan 26,-116.73,Card ending 3696,,CREDIT CARD PURCHASE,Melbourne Cable Park Bangholme,-698.58,Attractions & events,Melbourne Cable Park,23 Jan 26
23 Jan 26,-178.48,Card ending 3696,,CREDIT CARD PURCHASE,AMAZON MARKETPLACE AU SYDNEY,-581.85,Other shopping,Amazon,23 Jan 26
23 Jan 26,-39.99,Card ending 3696,,CREDIT CARD PURCHASE,BP AA OFFICER INBND 7010 OFFICER SOUTH,-403.37,Fuel,BP (AA Officer Inbound),23 Jan 26
22 Jan 26,475.00,Card ending 3696,,CREDIT CARD PAYMENT,INTERNET PAYMENT credit rebalance,-363.38,Internal transfers,,22 Jan 26
22 Jan 26,-40.00,Card ending 3696,,CREDIT CARD PURCHASE,HUBBL - KAYO SPORTS 131999,-838.38,Subscriptions,Hubbl (Kayo Sports & Binge),22 Jan 26
22 Jan 26,-26.26,Card ending 7567,,CREDIT CARD PURCHASE,MATE COMMUNICATE PTY LTD WETHERILL PAR,-798.38,Phone & internet,Mate.,22 Jan 26
22 Jan 26,-69.00,Card ending 3696,,CREDIT CARD PURCHASE,AMAZON RETA* AMAZON AU SYDNEY,-772.12,Other shopping,Amazon,22 Jan 26
21 Jan 26,-45.19,Card ending 3696,,CREDIT CARD PURCHASE,AMAZON MARKETPLACE AU SYDNEY,-703.12,Other shopping,Amazon,21 Jan 26
21 Jan 26,-29.97,Card ending 3696,,CREDIT CARD PURCHASE,LETS ROAM&DINE MEMBER LETSROAM.COM DE,-657.93,Uncategorised,,21 Jan 26
21 Jan 26,-1.05,Card ending     ,,FEES,NAB INTNL TRAN FEE - (MC),-627.96,Fees,,21 Jan 26
21 Jan 26,-33.99,Card ending 3696,,CREDIT CARD PURCHASE,AMAZON MARKETPLACE AU SYDNEY,-626.91,Other shopping,Amazon,21 Jan 26
21 Jan 26,-12.99,Card ending 3696,,CREDIT CARD PURCHASE,AMAZON MARKETPLACE AU SYDNEY,-592.92,Other shopping,Amazon,21 Jan 26
21 Jan 26,-22.30,Card ending 3696,,CREDIT CARD PURCHASE,THE CARRUM DOWNS CAR W CARRUM DOWNS,-579.93,Vehicle expenses,The Carrum Downs Car Wash,21 Jan 26
21 Jan 26,-13.49,Card ending 3696,,CREDIT CARD PURCHASE,AMAZON MARKETPLACE AU SYDNEY,-557.63,Other shopping,Amazon,21 Jan 26
21 Jan 26,-29.59,Card ending 3696,,CREDIT CARD PURCHASE,BP BRAESIDE 1375 BRAESIDE,-544.14,Fuel,BP (Braeside),21 Jan 26
